aar,yrke_grovgruppe,yrke_fingruppe,yrkeskode,yrke,yrkesbetegnelse,isco_versjon,antall_arbeidssokere
2002,Bygg og anlegg,Andre bygningsarbeidere,7132,Isolatører og kapslere,"Isolatør, Lærling (isolatør)",ISCO-88,198
2002,Bygg og anlegg,Andre bygningsarbeidere,7133,Glassarbeidere,"Glassfagarbeider, Glassliper, Lærling (glassfagarbeider)",ISCO-88,45
2002,Bygg og anlegg,Rørleggere,7134,Rørleggere og VVS-montører,"Kuldemontør, Lærling (industrirørlegger), Lærling (kuldemontør), Lærling (rørlegger VVS), Rørlegger (VVS), Rørlegger (industri)",ISCO-88,378
2002,Bygg og anlegg,Andre bygningsarbeidere,7141,Malere og byggtapetserere,"Byggtapetserer, Lærling (byggtapetserer), Lærling (maler), Maler",ISCO-88,623
2002,Bygg og anlegg,Andre bygningsarbeidere,7142,Overflatebehandlere og lakkerere,"Billakkerer, Galvanisør, Lærling (billakkerer), Lærling (galvanisør), Lærling (maskin- og industrimaler), Maskin og industrimaler, Termisk sprøyter",ISCO-88,369
2002,Bygg og anlegg,Andre bygningsarbeidere,7143,Sandblåsere o.l.,Sandblåser,ISCO-88,99
2002,Bygg og anlegg,Andre bygningsarbeidere,7144,Feiere,"Feier, Lærling (feier)",ISCO-88,10
2002,Industriarbeid,"Støpere, sveisere, platearbeidere  ",7211,Støpere,"Lærling (presstøper), Presstøper, Støper",ISCO-88,56
2002,Industriarbeid,"Støpere, sveisere, platearbeidere  ",7212,Sveisere,"Lærling (NDT-kontrollør magnetpulver/penetrant), Lærling (sveiser), NDT-kontrollør, Sveiser",ISCO-88,934
2002,Bygg og anlegg,Andre bygningsarbeidere,7213,Kopper- og blikkslagere,"Kobber- og blikkenslager, Lærling (kobber- og blikkenslager)",ISCO-88,178
2002,Industriarbeid,"Støpere, sveisere, platearbeidere  ",7214,Platearbeidere,"Fagarbeider (aluminiumskonstruksjon), Lærling (aluminiumskonstruksjonsarbeider), Lærling (platearbeider), Platearbeider",ISCO-88,558
2002,Industriarbeid,"Støpere, sveisere, platearbeidere  ",7215,Riggere og spleisere,Rigger,ISCO-88,61
2002,Serviceyrker og annet arbeid,Annet arbeid,7216,Dykkere,Dykker,ISCO-88,36
