"vurderingid";"created";"nettstednavn";"url";"poeng";"maxpoeng";"snittprosent";"stjerner";"tilgang_poeng";"tilgang_maxpoeng";"brukertilpass_poeng";"brukertilpass_maxpoeng";"nyttig_poeng";"nyttig_maxpoeng"
"18699";"05/25/2013 17:31:18";"Fylkesmannen i Aust-Agder";"http://www.fylkesmannen.no/AA";"55";"100";"55";"3";"15";"36";"23";"29";"17";"35"
"18700";"05/25/2013 17:31:30";"Fylkesmannen i Buskerud";"http://www.fylkesmannen.no/Buskerud";"53";"100";"53";"3";"17";"36";"23";"29";"13";"35"
"18701";"05/25/2013 17:31:43";"Fylkesmannen i Finnmark";"http://www.fylkesmannen.no/Finnmark";"60";"100";"60";"4";"15";"36";"24";"29";"21";"35"
"18702";"05/25/2013 17:31:55";"Fylkesmannen i Hedmark";"http://www.fylkesmannen.no/hedmark";"65";"100";"65";"4";"17";"36";"24";"29";"24";"35"
"18703";"05/25/2013 17:32:13";"Fylkesmannen i Hordaland";"http://www.fylkesmannen.no/hordaland";"47";"100";"47";"3";"13";"36";"18";"29";"16";"35"
"18704";"05/25/2013 17:32:34";"Fylkesmannen i Møre og Romsdal";"http://www.fylkesmannen.no/mr";"49";"100";"49";"3";"13";"36";"21";"29";"15";"35"
"18705";"05/25/2013 17:32:48";"Fylkesmannen i Nordland";"http://www.fylkesmannen.no/nordland";"58";"100";"58";"4";"17";"36";"19";"29";"22";"35"
"18706";"05/25/2013 17:33:00";"Fylkesmannen i Nord-Trøndelag";"http://www.fylkesmannen.no/nt";"61";"100";"61";"4";"15";"36";"24";"29";"22";"35"
"18707";"05/25/2013 17:33:15";"Fylkesmannen i Oppland";"http://www.fylkesmannen.no/oppland";"61";"100";"61";"4";"15";"36";"23";"29";"23";"35"
"18708";"05/25/2013 17:33:37";"Fylkesmannen i Oslo og Akershus";"http://www.fylkesmannen.no/OsloOgAkershus";"60";"100";"60";"4";"17";"36";"22";"29";"21";"35"
"18709";"05/25/2013 17:33:50";"Fylkesmannen i Rogaland";"http://www.fylkesmannen.no/Rogaland";"51";"100";"51";"3";"15";"36";"16";"29";"20";"35"
"18710";"05/25/2013 17:34:01";"Fylkesmannen i Sogn og Fjordane";"http://www.fylkesmannen.no/sfj";"60";"100";"60";"4";"13";"36";"23";"29";"24";"35"
"18711";"05/25/2013 17:34:12";"Fylkesmannen i Sør-Trøndelag";"http://www.fylkesmannen.no/st";"61";"100";"61";"4";"17";"36";"23";"29";"21";"35"
"18712";"05/25/2013 17:34:26";"Fylkesmannen i Telemark";"http://www.fylkesmannen.no/telemark";"58";"100";"58";"4";"15";"36";"23";"29";"20";"35"
"18713";"05/25/2013 17:34:45";"Fylkesmannen i Troms";"http://www.fylkesmannen.no/troms";"52";"100";"52";"3";"13";"36";"23";"29";"16";"35"
"18714";"05/25/2013 17:34:57";"Fylkesmannen i Vest-Agder";"http://www.fylkesmannen.no/va";"60";"100";"60";"4";"18";"36";"23";"29";"19";"35"
"18715";"05/25/2013 17:35:08";"Fylkesmannen i Vestfold";"http://www.fylkesmannen.no/vestfold";"62";"100";"62";"4";"15";"36";"23";"29";"24";"35"
"18716";"05/25/2013 17:35:19";"Fylkesmannen i Østfold";"http://www.fylkesmannen.no/Ostfold";"60";"100";"60";"4";"15";"36";"23";"29";"22";"35"
"17877";"03/25/2013 13:38:41";"Fyresdal kommune";"http://www.fyresdal.kommune.no/";"57";"100";"57";"3";"21";"36";"14";"29";"22";"35"
"18066";"04/11/2013 10:06:41";"Førde kommune";"http://www.forde.kommune.no";"79";"100";"79";"5";"27";"36";"21";"29";"31";"35"
"18300";"04/24/2013 12:37:27";"Gamvik kommune";"http://www.gamvik.kommune.no/";"43";"100";"43";"3";"18";"36";"20";"29";"5";"35"
"18151";"04/18/2013 09:41:44";"Gaular kommune";"http://www.gaular.kommune.no/";"64";"100";"64";"4";"25";"36";"17";"29";"22";"35"
"18172";"04/19/2013 10:13:54";"Gausdal kommune";"http://www.gausdal.kommune.no/";"79";"100";"79";"5";"28";"36";"26";"29";"25";"35"
"18301";"04/24/2013 13:30:20";"Gildeskål kommune";"http://www.gildeskal.kommune.no/";"55";"100";"55";"3";"23";"36";"18";"29";"14";"35"
"18316";"04/25/2013 09:09:10";"Giske kommune";"http://www.giske.kommune.no/";"55";"100";"55";"3";"26";"36";"14";"29";"15";"35"
"18228";"04/21/2013 19:33:37";"Gjemnes kommune";"http://www.gjemnes.kommune.no/";"61";"100";"61";"4";"26";"36";"16";"29";"19";"35"
"17907";"03/28/2013 22:40:04";"Gjerdrum kommune";"http://www.gjerdrum.kommune.no";"74";"100";"74";"5";"25";"36";"24";"29";"25";"35"
"18324";"04/25/2013 14:18:09";"Gjerstad kommune";"http://www.gjerstad.kommune.no";"58";"100";"58";"4";"24";"36";"18";"29";"16";"35"
"18336";"04/26/2013 08:48:29";"Gjesdal kommune";"http://www.gjesdal.kommune.no/";"59";"100";"59";"4";"17";"36";"18";"29";"24";"35"
"18343";"04/26/2013 10:01:50";"Gjøvik kommune";"http://www.gjovik.kommune.no";"48";"100";"48";"3";"11";"36";"15";"29";"22";"35"
"18248";"04/22/2013 09:46:06";"Gloppen kommune";"http://www.gloppen.kommune.no";"57";"100";"57";"3";"18";"36";"15";"29";"24";"35"
"17891";"03/25/2013 16:29:06";"Gol kommune";"http://www.gol.kommune.no/";"67";"100";"67";"4";"24";"36";"21";"29";"22";"35"
"18344";"04/26/2013 10:54:26";"Gran kommune";"http://www.gran.kommune.no";"64";"100";"64";"4";"24";"36";"18";"29";"22";"35"
"18346";"04/26/2013 13:55:33";"Grane kommune";"http://www.grane.kommune.no";"52";"100";"52";"3";"14";"36";"20";"29";"18";"35"
"18347";"04/26/2013 15:08:57";"Granvin herad";"http://www.granvin.kommune.no/";"49";"100";"49";"3";"22";"36";"13";"29";"14";"35"
"18757";"05/29/2013 08:58:10";"Gratangen kommune";"http://www.gratangen.kommune.no/";"63";"100";"63";"4";"23";"36";"21";"29";"19";"35"
"18356";"04/27/2013 07:09:03";"Grimstad kommune";"http://www.grimstad.kommune.no/";"78";"100";"78";"5";"27";"36";"23";"29";"28";"35"
