aar,video_url,kommune,tittel,tema,hva_er_spesielt,folelse,antrekk,type_bygg_og_industri,type_historisk,type_natur_og_idrett,type_kunst_og_haandverk,type_idrett_og_fysisk_aktivitet,tema_samlere_entusiaster_og_oppfinnere,tema_vitenskap,relasjoner,type_musikere,type_mat,type_dyr,antall_menn,antall_kvinner,tema_natur_og_friluftsliv,tema_kjop_og_salg,type_landbruk_og_fiske,offentlige_tjenester_og_veldedighet,hovedperson1_kjonn,hovedperson2_kjonn,hovedperson3_kjonn,hovedperson1_alder,hovedperson2_alder,hovedperson3_alder,tema_politikk_og_media
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009477/16-04-1977#t=29m48s,Ås,Foring av elg på Landbrukshøyskolen,Dyr,Prestasjon,,"Caps, Kjeledress",,,,,,,,,,,"Elg, Menneske hjelper dyr",3,,,,,,Mann,Mann,,60 til 70,40 til 50,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009577/30-04-1977#t=3m2s,Tana,Enda vinter,Natur og friluftsliv,,,Samiske klær,,,,,,,,,,,,2,,Årstider og vakker natur,,,,Mann,Mann,,50 til 60,60 til 70,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009577/30-04-1977#t=6m40s,Røst,Vår,Natur og friluftsliv,,,Caps,,,,,,,,,,,,10,,"Fugleliv, Årstider og vakker natur",,,,Mann,,,50 til 60,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009577/30-04-1977#t=11m5s,Hitra,Vår ved Trondheimsfjorden,Natur og friluftsliv,,,,,,,,,,,,,,,3,2,"Fugleliv, Årstider og vakker natur",,,,,,,30 til 40,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009577/30-04-1977#t=15m9s,Ullensvang,Hardanger: Vår,Natur og friluftsliv,,,Bunad,,,,,,,,,,,,2,5,"Årstider og vakker natur, Turisme",,,,Mann,,,50 til 60,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009577/30-04-1977#t=19m14s,Ukjent sted,Jæren: Vår,Natur og friluftsliv,,,,,,,,,,,,,,,1,,"Fugleliv, Årstider og vakker natur",,,,Mann,,,50 til 60,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009577/30-04-1977#t=23m2s,Kristiansand,Vår i sørlandsbyen,Natur og friluftsliv,,,"Caps, Kjeledress",,,,,,,,,,,,8,4,Årstider og vakker natur,,,,,,,,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009577/30-04-1977#t=26m21s,Tinn,Rjukan: Vår,Natur og friluftsliv,,,Caps,,,,,,,,,,,,6,,Årstider og vakker natur,,,,Mann,Mann,Mann,50 til 60,40 til 50,50 til 60,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009577/30-04-1977#t=29m33s,Ukjent sted,Finnskogen: Vår,Natur og friluftsliv,,,"Caps, Skinnlue",,,,,,,,,,,,2,,"Fugleliv, Isfiske, Årstider og vakker natur, Vær",,,,Mann,Mann,,70 til 80,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP43007577/14-05-1977#t=2m38s,Eid,Hingstesjå,Dyr,,Ler,"Caps, Hatt, Kjeledress, Slips, Strikkekofte",,,,,,,,,,,Hest,50,5,,,,,Mann,Mann,,50 til 60,70 til 80,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP43007577/14-05-1977#t=9m14s,Levanger,Innheradsferja,Offentlige tjenester og veldedighet,Spesielle kombinasjoner,,,,,,,,,,,,,,5,5,,,,Bibliotek,Kvinne,,,40 til 50,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP43007577/14-05-1977#t=12m54s,Nøtterøy,Teatergruppe ved Linde skole for bevegelseshemmede,Kunst og Håndverk,,,,,,,Teater og forestillinger,,,,,,,,7,7,,,,,Mann,Kvinne,,50 til 60,20 til 30,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP43007577/14-05-1977#t=16m37s,Marnardal,Bjelland: Tønnestavproduksjon,Kunst og Håndverk,,,Caps,,,,Tønne,,,,,,,,10,5,,,,,Mann,Mann,,50 til 60,40 til 50,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP43007577/14-05-1977#t=21m33s,Balsfjord,Geiter,Landbruk og fiske,,,"Caps, Kjeledress",,,,,,,,,,,,6,5,,,Geitehold,,Mann,Kvinne,Mann,40 til 50,40 til 50,50 til 60,
1977,https://tv.nrk.no/serie/norge-rundt/FREP43007577/14-05-1977#t=27m9s,Inderøy,"""Plant et tre"" - aksjon",Natur og friluftsliv,,,Caps,,,,,,,,,,,,20,20,Trær,,,,Kvinne,Mann,,30 til 40,40 til 50,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP43007577/14-05-1977#t=30m4s,Oslokommune,Ammerud: Planting av trær,Natur og friluftsliv,,,Slips,,,,,,,,,,,,20,10,Trær,,,,Mann,,,40 til 50,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP43007677/28-05-1977#t=1m52s,Bærum,Sandvika: Sykkelreparasjon,Kunst og Håndverk,,,"Caps, Kjeledress",,,,"Restaurering og reparasjon, Verksted",,,,,,,,2,1,,,,,Mann,Mann,Kvinne,80 til 90,60 til 70,70 til 80,
1977,https://tv.nrk.no/serie/norge-rundt/FREP43007677/28-05-1977#t=6m25s,Vestnes,Tomrefjord: Arbeidsledighet etter fabrikknedleggelse,Ukategoriserbart,,,,,,,,,,,,,,,1,3,,,,,Kvinne,Kvinne,Mann,20 til 30,30 til 40,60 til 70,
1977,https://tv.nrk.no/serie/norge-rundt/FREP43007677/28-05-1977#t=12m50s,Bindal,Sør-Helgeland: Gullet i Bindalen,Bygg og industri,,,"Hatt, Kjeledress","Anlegg, Gruve og steinbrudd",,,,,,,,,,,3,,,,,,Mann,,,70 til 80,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP43007677/28-05-1977#t=17m3s,Ukjent sted,Ytre Senja: Legemangel i Nord-Norge,Offentlige tjenester og veldedighet,,,Slips,,,,,,,,,,,,6,5,,,,Helsetjenester,Mann,Kvinne,Mann,40 til 50,60 til 70,50 til 60,
1977,https://tv.nrk.no/serie/norge-rundt/FREP43007677/28-05-1977#t=22m50s,Tysvær,Cleng Peerson-huset,Historisk,,,"Busserull, Slips",,Bygninger,,,,,,,,,,2,,,,,,Mann,Mann,Mann,50 til 60,40 til 50,60 til 70,
1977,https://tv.nrk.no/serie/norge-rundt/FREP43007677/28-05-1977#t=27m37s,Larvik,NM i havfiske,Natur og friluftsliv,,,"Caps, Hatt",,,,,,,,,,,,30,10,"Friluftsliv, Sportsfiske",,,,Mann,,,70 til 80,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP43007777/11-06-1977#t=1m47s,Herøy (M.ogR.),Fosnavåg: Herøymessa 1977,Ukategoriserbart,,,"Caps, Hatt, Kjeledress, Sydvest",,,,,,,,,,,,30,10,,,,,,,,,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP43007777/11-06-1977#t=7m7s,Hamar,Jernbanedagene,Ukategoriserbart,,,"Slips, Uniform",,,,,,,,,,,,2,,,,,,Mann,,,30 til 40,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP43007777/11-06-1977#t=12m33s,Lund,Moi: Sauebjellefabrikk,Kjøp og salg,,,,,,,,,,,,,,,3,1,,Småskalaproduksjon,,,Mann,,,30 til 40,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP43007777/11-06-1977#t=16m45s,Vadsø,Teaterstykke om Hurtigruta,Kunst og Håndverk,,,"Caps, Hatt, Slips",,,,Teater og forestillinger,,,,,,,,9,6,,,,,Mann,Mann,,30 til 40,40 til 50,,
