byggnr,dato,aapent_fra,aapent_til,kommentar
2,2016-06-25,00:00,00:00,lørdag
2,2016-06-26,00:00,00:00,søndag
2,2016-06-27,07:40,15:30,
2,2016-06-28,07:40,15:30,
2,2016-06-29,07:40,15:30,
2,2016-06-30,07:40,17:00,
2,2016-07-01,07:40,15:30,
2,2016-07-02,00:00,00:00,lørdag
2,2016-07-03,00:00,00:00,søndag
2,2016-07-04,07:40,15:30,
2,2016-07-05,07:40,15:30,
2,2016-07-06,07:40,15:30,
2,2016-07-07,07:40,17:00,
2,2016-07-08,07:40,15:30,
2,2016-07-09,00:00,00:00,lørdag
2,2016-07-10,00:00,00:00,søndag
2,2016-07-11,07:40,15:30,
2,2016-07-12,07:40,15:30,
2,2016-07-13,07:40,15:30,
2,2016-07-14,07:40,17:00,
2,2016-07-15,07:40,15:30,
2,2016-07-16,00:00,00:00,lørdag
2,2016-07-17,00:00,00:00,søndag
2,2016-07-18,07:40,15:30,
2,2016-07-19,07:40,15:30,
2,2016-07-20,07:40,15:30,
2,2016-07-21,07:40,17:00,
2,2016-07-22,07:40,15:30,
2,2016-07-23,00:00,00:00,lørdag
2,2016-07-24,00:00,00:00,søndag
2,2016-07-25,07:40,15:30,
2,2016-07-26,07:40,15:30,
2,2016-07-27,07:40,15:30,
2,2016-07-28,07:40,17:00,
2,2016-07-29,07:40,15:30,
2,2016-07-30,00:00,00:00,lørdag
2,2016-07-31,00:00,00:00,søndag
2,2016-08-01,07:40,15:30,
2,2016-08-02,07:40,15:30,
2,2016-08-03,07:40,15:30,
2,2016-08-04,07:40,17:00,
2,2016-08-05,07:40,15:30,
2,2016-08-06,00:00,00:00,lørdag
2,2016-08-07,00:00,00:00,søndag
2,2016-08-08,07:40,15:30,
2,2016-08-09,07:40,15:30,
2,2016-08-10,07:40,15:30,
2,2016-08-11,07:40,17:00,
2,2016-08-12,07:40,15:30,
2,2016-08-13,00:00,00:00,lørdag
2,2016-08-14,00:00,00:00,søndag
2,2016-08-15,07:40,15:30,
2,2016-08-16,07:40,15:30,
2,2016-08-17,07:40,15:30,
2,2016-08-18,07:40,17:00,
2,2016-08-19,07:40,15:30,
2,2016-08-20,00:00,00:00,lørdag
2,2016-08-21,00:00,00:00,søndag
2,2016-08-22,07:40,15:30,
2,2016-08-23,07:40,15:30,
2,2016-08-24,07:40,15:30,
2,2016-08-25,07:40,17:00,
2,2016-08-26,07:40,15:30,
2,2016-08-27,00:00,00:00,lørdag
2,2016-08-28,00:00,00:00,søndag
2,2016-08-29,07:40,15:30,
2,2016-08-30,07:40,15:30,
2,2016-08-31,07:40,15:30,
2,2016-09-01,07:40,17:00,
2,2016-09-02,07:40,15:30,
2,2016-09-03,00:00,00:00,lørdag
2,2016-09-04,00:00,00:00,søndag
2,2016-09-05,07:40,15:30,
2,2016-09-06,07:40,15:30,
2,2016-09-07,07:40,15:30,
2,2016-09-08,07:40,17:00,
2,2016-09-09,07:40,15:30,
